rank,title,totalGross,maxTheaters,openingDate,simplePR
232,Holiday (2014),706893,144,06/06/14,4909
233,"Men, Women & Children",705908,608,10/01/14,1161
234,Frankie & Alice (2014),695876,171,04/04/14,4069
235,The Tale of The Princess Kaguya,681072,29,10/17/14,23485
236,Jodorowsky's Dune,647280,61,03/21/14,10611
237,Hasee Toh Phasee,646035,88,02/07/14,7341
238,Frank,645186,75,08/15/14,8602
239,Mary Kom,621300,139,09/05/14,4470
240,Finding Fanny,615691,121,09/12/14,5088
241,The Signal (2014),600896,204,06/13/14,2946
242,Song of the Sea,593870,46,12/19/14,12910
243,The Disappearance of Eleanor Rigby,587774,139,09/12/14,4229
244,Back in Time (Congcong Nanian),569280,20,12/12/14,28464
245,Forrest Gump (IMAX),557683,337,09/05/14,1655
246,The Attorney,557236,27,02/07/14,20638
247,23 Blast,549185,617,10/24/14,890
248,Highway (2014),529136,97,02/21/14,5455
249,Dom Hemingway,523511,129,04/02/14,4058
250,A Hard Day's Night (2014 re-release),515005,136,07/04/14,3787
251,The One I Love,513447,82,08/22/14,6262
252,Tracks (2014),510007,67,09/19/14,7612
253,The Two Faces of January,507463,59,09/26/14,8601
254,On Any Sunday: The Next Chapter,507324,231,11/07/14,2196
255,Last Days in Vietnam,466114,25,09/05/14,18645
256,A Matter of Faith,457555,52,10/17/14,8799
257,In Secret,444179,266,02/21/14,1670
258,But Always (Yi Sheng Yi Shi),430760,20,09/05/14,21538
259,Beijing Love Story,428318,12,02/14/14,35693
260,Cold in July,423223,73,05/23/14,5798
261,The German Doctor,418392,39,04/25/14,10728
262,The Pirates,415775,25,09/05/14,16631
263,Humpty Sharma Ki Dulhania,380011,101,07/11/14,3762
264,Women Who Flirt (Sajiao Nvren),375495,27,11/26/14,13907
265,Joe (2014),373375,48,04/11/14,7779
266,Glen Campbell... I'll Be Me,365422,18,10/24/14,20301
267,Omar,356000,53,02/21/14,6717
268,Goodbye to Language,354759,7,10/24/14,50680
269,A Girl Walks Home Alone at Night,351164,19,11/21/14,18482
270,Le Chef,342667,19,06/20/14,18035
271,Venus in Fur,342183,45,06/20/14,7604
272,Jimi: All Is By My Side,340911,75,09/26/14,4545
273,Chinese Puzzle,338523,29,05/16/14,11673
274,I Origins,336472,122,07/18/14,2758
275,The Guest (2014),332890,53,09/17/14,6281
276,The Face of Love,332225,42,03/07/14,7910
277,Nymphomaniac: Volume II,327167,31,04/04/14,10554
278,Stranger By the Lake,325196,16,01/24/14,20325
279,On My Way,317324,32,03/14/14,9916
280,Happy Ending,313770,129,11/21/14,2432
281,The Hornet's Nest,312706,57,05/09/14,5486
282,A Five Star Life,306917,20,07/18/14,15346
283,Elaine Stritch: Shoot Me,305036,41,02/21/14,7440
284,Mood Indigo,303187,37,07/18/14,8194
285,"Like Father, Like Son (2014)",301213,35,01/17/14,8606
286,Innocence (2014),294039,490,09/05/14,600
287,The Dance of Reality,293680,15,05/23/14,19579
288,The Last of Robin Hood,288545,78,08/29/14,3699
289,Elsa & Fred (2014),285863,34,11/07/14,8408
290,Kundo: Age of the Rampant,280958,28,08/29/14,10034
291,"20,000 Days on Earth",279558,28,09/17/14,9984
292,The Unknown Known,276497,80,04/04/14,3456
293,I Am Eleven,275503,16,09/12/14,17219
294,Main Tera Hero,274579,77,04/04/14,3566
295,Night Moves,271755,56,05/30/14,4853
296,Love on the Cloud (Wei Ai),271734,17,12/24/14,15984
297,The Love Punch,266588,121,05/23/14,2203
298,Life of Crime,265452,37,08/29/14,7174
299,Ernest & Celestine,262075,39,02/28/14,6720
300,Blue Ruin,258384,61,04/25/14,4236
301,The Green Prince,258237,24,09/12/14,10760
302,The Zero Theorem,257706,63,09/19/14,4091
303,Action Jackson (2014),256872,125,12/05/14,2055
304,Alive Inside,256682,20,07/18/14,12834
305,Antarctica: A Year on Ice,254411,30,11/28/14,8480
306,Tazza: The Hidden Card,251555,11,09/19/14,22869
307,National Gallery,248790,15,11/05/14,16586
308,The Blue Room,247866,42,10/03/14,5902
309,The Galapagos Affair: Satan Came to Eden,247159,15,04/04/14,16477
310,James Cameron's Deepsea Challenge 3D,235659,304,08/08/14,775
311,Art and Craft,235037,20,09/19/14,11752
312,Diplomacy,230880,14,10/15/14,16491
313,Dr. Cabbie (U.S. only),225490,220,11/26/14,1025
314,The Suspect (2014),218693,20,01/10/14,10935
315,Supermensch: The Legend of Shep Gordon,213064,46,06/06/14,4632
316,The Breakup Guru,208959,12,06/27/14,17413
317,Rob the Mob,208693,30,03/21/14,6956
318,Under the Electric Sky,207584,25,05/29/14,8303
319,Jinn,202348,201,04/04/14,1007
320,Bethlehem,201700,29,03/07/14,6955
321,She's Beautiful When She's Angry,200502,8,12/05/14,25063
322,The Double (2014),200406,16,05/09/14,12525
323,Listen Up Philip,200126,30,10/17/14,6671
324,A Summer's Tale,198126,9,06/20/14,22014
325,Code Black,190229,10,06/20/14,19023
326,We Are The Best!,180590,23,05/30/14,7852
327,Anita,176979,12,03/21/14,14748
328,Evangelion: 3.0 You Can (Not) Redo,174945,82,01/10/14,2133
329,Horns,173948,103,10/31/14,1689
330,Afternoon of a Faun,172450,11,02/05/14,15677
331,That Demon Within,172343,16,04/18/14,10771
332,God's Pocket,166457,80,05/09/14,2081
333,NAS: Time is Illmatic,164540,43,10/01/14,3827
334,Keep On Keepin' On,163745,9,09/19/14,18194
335,Sinbad: The Fifth Voyage,159862,27,02/07/14,5921
336,Citizen Koch,153908,24,06/06/14,6413
337,Alan Partridge: The Movie,153426,22,04/04/14,6974
338,A Coffee in Berlin,150275,12,06/13/14,12523
339,Godzilla: The Japanese Original,150191,21,04/18/14,7152
340,Dancing in Jaffa,147844,23,04/11/14,6428
341,Kids For Cash,143178,12,02/07/14,11932
342,Mistaken for Strangers,138991,9,03/28/14,15443
343,The Congress,137815,37,08/29/14,3725
344,The Divine Move,136707,11,07/25/14,12428
345,Gore Vidal: United States of Amnesia,135554,11,05/23/14,12323
346,Redwood Highway,134049,17,04/11/14,7885
347,The Jewish Cardinal,133663,7,01/10/14,19095
348,Raja Natwarlal,131105,73,08/29/14,1796
349,Bjork - Biophilia Live,127754,27,09/26/14,4732
350,Make Your Move,125106,142,04/18/14,881
351,Knights of Badassdom,123854,13,01/21/14,9527
352,Afflicted (2014),121179,44,04/04/14,2754
353,Finding Fela,120980,11,08/01/14,10998
354,God the Father,113276,15,10/17/14,7552
355,The Liberator,113067,77,10/03/14,1468
356,Penton: The John Penton Story,112159,14,06/23/14,8011
357,The Overnighters,110763,23,10/10/14,4816
358,Anohana The Movie: The Flower We Saw That Day,109630,41,01/18/14,2674
359,Ivory Tower,106771,12,06/13/14,8898
360,The Golden Era,102931,15,10/17/14,6862
361,Zero Motivation,102909,7,12/03/14,14701
362,God Help the Girl,102757,59,09/05/14,1742
363,Coherence,102617,7,06/20/14,14660
364,Korengal,101310,11,05/30/14,9210
365,One Chance,101196,43,10/10/14,2353
366,The Way He Looks,101137,14,11/07/14,7224
367,Beyond Sight: The Derek Rabelo Story,101074,2,03/07/14,50537
368,Child's Pose,97170,10,02/19/14,9717
369,Hiroshima Mon Amour (2014 re-release),96439,7,10/17/14,13777
370,Cuban Fury,92384,79,04/11/14,1169
371,Generation War,91595,7,01/15/14,13085
372,Girl on a Bicycle,91401,52,02/14/14,1758
373,Pump,89787,10,09/19/14,8979
374,Breathe In,89661,41,03/28/14,2187
375,Life After Beth,88273,30,08/15/14,2942
376,Advanced Style,87879,12,09/26/14,7323
377,The Best Offer,87662,15,01/03/14,5844
378,Visitors (2014),84577,13,01/24/14,6506
379,Watermark,84464,16,04/04/14,5279
